name,author,publication,year,classificationem,keywords
多型号地基微波辐射计亮温准确性比对,茆佳佳 张雪芬 王志诚 杨荣康 潘旭光 季承荔 郭然,《应用气象学报》,年  卷 期：2018年第29卷第6期,[理学-大气科学类],微波辐射计 误差分析 探空 亮温 MonoRTM模型
2000-2015年青藏高原切变线统计特征分析（英文）,李潇濛 赵琳娜 肖天贵 杨瑞雯,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[理学-大气科学类],气象学 高原气象 高原切变线 统计特征 影响系统 降水
高低空急流的配置对2015年8月3日辽宁暴雨的影响机制,谭政华 巩远发,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[理学-大气科学类],天气动力学 暴雨诊断 高空急流 低空急流 耦合作用 次级环流
2013-2016年新疆地区闪电活动时空特征分析,钱勇 谭侨 焦阳 张永军 王延慧 张晗,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[理学-大气科学类],气象探测技术 雷电防护科学与技术 时间分布 空间分布 闪电强度 特征分析
耦合分布式水文模型的泥石流物理模型预报试验,BAO Hongjun WANG Kai ZHANG Shaojie WANG Lili LIU Dunlong ZHANG Ke,《暴雨灾害》,年  卷 期：2018年第37卷第4期,[理学-地质学],泥石流 水土耦合 孕灾流域单元 GBHM分布式水文模型 区域
X波段双线偏振雷达不同衰减订正法对比分析,王晗 刘黎平 张扬,《气象科技》,年  卷 期：2018年第46卷第1期,[理学-大气科学类],X波段双线偏振雷达 衰减订正 ZH-KDP订正法 ZPHI降水廓线订正法
贵州省气象大数据平台架构设计,郭茜 王彪 汪华 金石声,《成都信息工程大学学报》,年  卷 期：2018年第33卷第5期,[理学-大气科学类],气象大数据平台 Impala数据库集群 GreenPlum数据库集群
青藏高原大气可降水量单站观测对比分析,胡姮 曹云昌 尹聪 段晓梅,《气象学报》,年  卷 期：2018年第76卷第6期,[理学-大气科学类],青藏高原 大气可降水量 地基GNSS 探空 卫星产品 对比分析
2016年8月青海省气候异常特征及成因分析,张调风 赵全宁 来晓玲 杨延华,《成都信息工程大学学报》,年  卷 期：2018年第33卷第6期,[理学-大气科学类],气象学 气候变化 高空槽 高压 8月气候异常 青海省
从极端天气事件演变规律看双流机场低能见度运行安全,张序 黄昕月 兰梓洲 王玉冰,《成都信息工程大学学报》,年  卷 期：2018年第33卷第4期,[工学-航空航天类],气象学 气候变化风险管理 极端天气事件 显著性检验 低能见度 成都双流机场 辐射雾 气象预报
汉江流域自然灾害监测预报预警大数据平台研究,王毅 邹涛 周义兵 田光普 占世林 王雨斐,《成都信息工程大学学报》,年  卷 期：2018年第33卷第5期,[工学-环境科学与工程类],汉江流域 自然灾害 预报预警
一次华北锋面带状降水过程中的对流-对称不稳定诊断分析,王晨曦 邓莲堂 范广洲 李泽椿 周定文,《气象》,年  卷 期：2018年第44卷第12期,[理学-大气科学类],GRAPES-Meso 锋面雨带 对流不稳定 条件性对称不稳定(CSI)
2007—2017年大连市降水及降水日数变化特征分析,田野 马兵 高振泽 韩琳 文世勇,《安徽农学通报》,年  卷 期：2018年第24卷第20期,[理学-大气科学类],降水量 降水日数 降水强度 大连市
精细化气象服务——未来气象服务的发展方向,马士钦 马志强 程海霞,《山西科技》,年  卷 期：2018年第33卷第2期,[理学-大气科学类],气象服务 精细化 重要性 必要性 对策
NBE和IBP始发的闪电初始特征,张骁 张阳 张义军 郑栋 吕伟涛,《应用气象学报》,年  卷 期：2018年第29卷第3期,[理学-大气科学类],NBE IBP 闪电始发
宁夏中北部一次区域暴雨天气过程分析,WANG Wei MAO Wen-shu MAO Rui,《安徽农业科学》,年  卷 期：2018年第46卷第36期,[理学-大气科学类],暴雨 环流形势 物理量 诊断分析 宁夏中北部
贵州喀斯特区域土壤湿度持续下降时期气象要素对土壤湿度影响研究,袁淑杰 何兴潼 谷晓平 潘媞 于飞,《土壤通报》,年  卷 期：2018年第49卷第2期,[农学],贵州喀斯特区域 农业气候区 土壤湿度 气象要素
川渝地区大气污染物质量浓度时空分布特征,冯鑫媛 张莹,《中国科技论文》,年  卷 期：2018年第13卷第15期,[工学-环境科学与工程类],大气环境 大气污染物 时空分布 日变化 质量浓度 川渝地区
微波辐射计对昆明雾天的监测及应用,欧映瑜 朱克云 张杰 郑佳锋 谢慧玲,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[理学-大气科学类],应用气象 短临天气预报 微波辐射计 锋面雾 辐射雾 温湿数据监测 长水机场预报
贵州省喀斯特区域土壤水分持续上升时期气象要素对土壤水分的影响,何兴潼 袁淑杰 谷晓平 潘媞 于飞,《水土保持通报》,年  卷 期：2018年第38卷第2期,[农学],贵州喀斯特地区 土壤水分 降水 气温 地表温度
2010年夏季长江中下游持续性异常降水低频特征分析,周可 王伟 任晓玥,《成都信息工程大学学报》,年  卷 期：2018年第33卷第4期,[理学-大气科学类],气象学 低频振荡 长江中下游 持续性异常降水
基于车联网的智慧城市气象综合观测初步研究,胡元川 邓小波 刘海磊 樊昌元 周琪 王培宇,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[理学-大气科学类],气象观测 车联网 数据分析 热岛效应 智慧城市
基于改进决策树的故障诊断方法研究,赵锦阳 卢会国 蒋娟萍 罗扬燚,《成都信息工程大学学报》,年  卷 期：2018年第33卷第6期,[工学-自动化类],信号与信息处理 数据挖掘 决策树 故障诊断 基尼系数 剪枝
基于领域知识的气象智能服务软件微开发技术及应用,Liu Kui Shu Hong-ping He Wen-chun Luo Fei Cao Liang,《气象科技进展》,年  卷 期：2018年第8卷第1期,[理学-大气科学类],气象服务构件 微开发 微服务 众创
三亚SC天气雷达强度“马赛克”问题仿真溯源分析,邵楠 步志超 李柏 李喆 李昭春,《成都信息工程大学学报》,年  卷 期：2018年第33卷第2期,[理学-大气科学类],I/Q信号仿真 随机相位编码 Dual PRF技术 强度“马赛克”
近56年遂宁市气温变化特征及成因分析,詹万志 陈佳 宋雯雯,《成都信息工程大学学报》,年  卷 期：2018年第33卷第5期,[理学-大气科学类],气温 变化周期 趋势分析 遂宁
基于链表多分支路径树的云存储数据完整性验证机制,方欣 方睿 刘雪涛 廖勇 浦东 贾川,《成都信息工程大学学报》,年  卷 期：2018年第33卷第1期,[工学-计算机类],云存储 数据完整性验证 SLBT树 动态更新
